,time,open_cnt,c_cnt
1729,2016-07-27 09:34:00,19,11
1730,2016-07-27 09:35:00,20,13
1731,2016-07-27 09:36:00,17,15
1732,2016-07-27 09:37:00,15,13
1733,2016-07-27 09:38:00,15,18
1734,2016-07-27 09:39:00,14,12
1735,2016-07-27 09:40:00,16,14
1736,2016-07-27 09:41:00,18,19
1737,2016-07-27 09:42:00,17,20
1738,2016-07-27 09:43:00,17,12
1739,2016-07-27 09:44:00,20,11
1740,2016-07-27 09:45:00,15,11
1741,2016-07-27 09:46:00,22,20
1742,2016-07-27 09:47:00,16,22
1743,2016-07-27 09:48:00,22,17
1744,2016-07-27 09:49:00,21,18
1745,2016-07-27 09:50:00,12,15
1746,2016-07-27 09:51:00,14,13
1747,2016-07-27 09:52:00,16,18
1748,2016-07-27 09:53:00,22,20
1749,2016-07-27 09:54:00,16,9
1750,2016-07-27 09:55:00,19,13
1751,2016-07-27 09:56:00,16,19
1752,2016-07-27 09:57:00,15,22
1753,2016-07-27 09:58:00,17,16
1754,2016-07-27 09:59:00,14,17
1755,2016-07-27 10:00:00,11,20
1756,2016-07-27 10:01:00,13,19
1757,2016-07-27 10:02:00,13,19
1758,2016-07-27 10:03:00,15,18
1759,2016-07-27 10:04:00,21,19
1760,2016-07-27 10:05:00,12,19
1761,2016-07-27 10:06:00,25,14
1762,2016-07-27 10:07:00,22,18
1763,2016-07-27 10:08:00,18,16
1764,2016-07-27 10:09:00,14,17
1765,2016-07-27 10:10:00,22,13
1766,2016-07-27 10:11:00,22,15
1767,2016-07-27 10:12:00,11,17
1768,2016-07-27 10:13:00,19,14
1769,2016-07-27 10:14:00,16,29
1770,2016-07-27 10:15:00,12,23
1771,2016-07-27 10:16:00,11,17
1772,2016-07-27 10:17:00,19,19
1773,2016-07-27 10:18:00,13,17
1774,2016-07-27 10:19:00,15,21
1775,2016-07-27 10:20:00,22,19
1776,2016-07-27 10:21:00,12,19
1777,2016-07-27 10:22:00,24,17
1778,2016-07-27 10:23:00,16,19
1779,2016-07-27 10:24:00,22,11
1780,2016-07-27 10:25:00,17,21
1781,2016-07-27 10:26:00,19,19
1782,2016-07-27 10:27:00,18,13
1783,2016-07-27 10:28:00,19,15
1784,2016-07-27 10:29:00,15,12
1785,2016-07-27 10:30:00,12,13
1786,2016-07-27 10:31:00,14,23
1787,2016-07-27 10:32:00,16,24
1788,2016-07-27 10:33:00,14,26
1789,2016-07-27 10:34:00,18,13
1790,2016-07-27 10:35:00,21,17
1791,2016-07-27 10:36:00,19,20
1792,2016-07-27 10:37:00,18,15
1793,2016-07-27 10:38:00,11,17
1794,2016-07-27 10:39:00,12,14
1795,2016-07-27 10:40:00,20,10
1796,2016-07-27 10:41:00,18,11
1797,2016-07-27 10:42:00,14,16
1798,2016-07-27 10:43:00,19,13
1799,2016-07-27 10:44:00,15,17
1800,2016-07-27 10:45:00,9,17
1801,2016-07-27 10:46:00,20,8
1802,2016-07-27 10:47:00,14,12
1803,2016-07-27 10:48:00,22,14
1804,2016-07-27 10:49:00,24,16
1805,2016-07-27 10:50:00,13,12
1806,2016-07-27 10:51:00,13,16
1807,2016-07-27 10:52:00,17,23
1808,2016-07-27 10:53:00,16,19
1809,2016-07-27 10:54:00,14,17
1810,2016-07-27 10:55:00,21,20
1811,2016-07-27 10:56:00,17,18
1812,2016-07-27 10:57:00,15,13
1813,2016-07-27 10:58:00,22,22
1814,2016-07-27 10:59:00,16,19
1815,2016-07-27 11:00:00,16,14
1816,2016-07-27 11:01:00,16,16
1817,2016-07-27 11:02:00,20,10
1818,2016-07-27 11:03:00,13,19
1819,2016-07-27 11:04:00,14,17
1820,2016-07-27 11:05:00,17,18
1821,2016-07-27 11:06:00,19,17
1822,2016-07-27 11:07:00,9,16
1823,2016-07-27 11:08:00,19,16
1824,2016-07-27 11:09:00,21,18
1825,2016-07-27 11:10:00,15,12
1826,2016-07-27 11:11:00,20,9
1827,2016-07-27 11:12:00,17,18
1828,2016-07-27 11:13:00,15,17
1829,2016-07-27 11:14:00,14,19
1830,2016-07-27 11:15:00,16,10
1831,2016-07-27 11:16:00,15,12
1832,2016-07-27 11:17:00,28,14
1833,2016-07-27 11:18:00,13,15
1834,2016-07-27 11:19:00,16,15
1835,2016-07-27 11:20:00,21,21
1836,2016-07-27 11:21:00,15,24
1837,2016-07-27 11:22:00,14,13
1838,2016-07-27 11:23:00,7,18
1839,2016-07-27 11:24:00,15,20
1840,2016-07-27 11:25:00,20,14
1841,2016-07-27 11:26:00,16,10
1842,2016-07-27 11:27:00,19,20
1843,2016-07-27 11:28:00,12,21
1844,2016-07-27 11:29:00,14,20
1845,2016-07-27 11:30:00,15,8
1846,2016-07-27 11:31:00,24,22
1847,2016-07-27 11:32:00,28,18
1848,2016-07-27 11:33:00,14,17
