,window10,avg(count)
120,"Row(start=datetime.datetime(2016, 7, 27, 20, 25), end=datetime.datetime(2016, 7, 27, 20, 35))",36.8
121,"Row(start=datetime.datetime(2016, 7, 27, 10, 5), end=datetime.datetime(2016, 7, 27, 10, 15))",35.3
122,"Row(start=datetime.datetime(2016, 7, 27, 20, 35), end=datetime.datetime(2016, 7, 27, 20, 45))",32.9
123,"Row(start=datetime.datetime(2016, 7, 26, 13, 5), end=datetime.datetime(2016, 7, 26, 13, 15))",33.7
124,"Row(start=datetime.datetime(2016, 7, 27, 3, 25), end=datetime.datetime(2016, 7, 27, 3, 35))",34.1
125,"Row(start=datetime.datetime(2016, 7, 26, 23, 5), end=datetime.datetime(2016, 7, 26, 23, 15))",34.9
126,"Row(start=datetime.datetime(2016, 7, 27, 6, 25), end=datetime.datetime(2016, 7, 27, 6, 35))",34.1
127,"Row(start=datetime.datetime(2016, 7, 26, 14, 35), end=datetime.datetime(2016, 7, 26, 14, 45))",31.7
128,"Row(start=datetime.datetime(2016, 7, 26, 10, 45), end=datetime.datetime(2016, 7, 26, 10, 55))",34.5
129,"Row(start=datetime.datetime(2016, 7, 26, 13, 25), end=datetime.datetime(2016, 7, 26, 13, 35))",32.4
130,"Row(start=datetime.datetime(2016, 7, 26, 7, 55), end=datetime.datetime(2016, 7, 26, 8, 5))",32.3
131,"Row(start=datetime.datetime(2016, 7, 28, 7, 45), end=datetime.datetime(2016, 7, 28, 7, 55))",8.6
132,"Row(start=datetime.datetime(2016, 7, 26, 22, 35), end=datetime.datetime(2016, 7, 26, 22, 45))",34.5
133,"Row(start=datetime.datetime(2016, 7, 28, 8, 5), end=datetime.datetime(2016, 7, 28, 8, 15))",6.3
134,"Row(start=datetime.datetime(2016, 7, 27, 20, 55), end=datetime.datetime(2016, 7, 27, 21, 5))",33.3
135,"Row(start=datetime.datetime(2016, 7, 27, 23, 15), end=datetime.datetime(2016, 7, 27, 23, 25))",32.5
136,"Row(start=datetime.datetime(2016, 7, 26, 10, 55), end=datetime.datetime(2016, 7, 26, 11, 5))",31.8
137,"Row(start=datetime.datetime(2016, 7, 27, 20, 5), end=datetime.datetime(2016, 7, 27, 20, 15))",32.8
138,"Row(start=datetime.datetime(2016, 7, 26, 8, 35), end=datetime.datetime(2016, 7, 26, 8, 45))",32.4
139,"Row(start=datetime.datetime(2016, 7, 27, 9, 35), end=datetime.datetime(2016, 7, 27, 9, 45))",31.6
140,"Row(start=datetime.datetime(2016, 7, 27, 5, 35), end=datetime.datetime(2016, 7, 27, 5, 45))",34.1
141,"Row(start=datetime.datetime(2016, 7, 26, 12, 5), end=datetime.datetime(2016, 7, 26, 12, 15))",33.4
142,"Row(start=datetime.datetime(2016, 7, 27, 18, 55), end=datetime.datetime(2016, 7, 27, 19, 5))",33.3
143,"Row(start=datetime.datetime(2016, 7, 27, 7, 45), end=datetime.datetime(2016, 7, 27, 7, 55))",35.3
144,"Row(start=datetime.datetime(2016, 7, 28, 6, 25), end=datetime.datetime(2016, 7, 28, 6, 35))",32.3
145,"Row(start=datetime.datetime(2016, 7, 26, 7, 5), end=datetime.datetime(2016, 7, 26, 7, 15))",32.0
146,"Row(start=datetime.datetime(2016, 7, 28, 2, 35), end=datetime.datetime(2016, 7, 28, 2, 45))",30.3
147,"Row(start=datetime.datetime(2016, 7, 26, 17, 45), end=datetime.datetime(2016, 7, 26, 17, 55))",32.3
148,"Row(start=datetime.datetime(2016, 7, 27, 18, 35), end=datetime.datetime(2016, 7, 27, 18, 45))",33.4
149,"Row(start=datetime.datetime(2016, 7, 27, 19, 55), end=datetime.datetime(2016, 7, 27, 20, 5))",33.7
150,"Row(start=datetime.datetime(2016, 7, 27, 22, 25), end=datetime.datetime(2016, 7, 27, 22, 35))",32.8
151,"Row(start=datetime.datetime(2016, 7, 27, 20, 45), end=datetime.datetime(2016, 7, 27, 20, 55))",33.9
152,"Row(start=datetime.datetime(2016, 7, 26, 13, 45), end=datetime.datetime(2016, 7, 26, 13, 55))",32.4
153,"Row(start=datetime.datetime(2016, 7, 27, 4, 25), end=datetime.datetime(2016, 7, 27, 4, 35))",36.5
154,"Row(start=datetime.datetime(2016, 7, 27, 4, 35), end=datetime.datetime(2016, 7, 27, 4, 45))",32.6
155,"Row(start=datetime.datetime(2016, 7, 26, 10, 5), end=datetime.datetime(2016, 7, 26, 10, 15))",32.0
156,"Row(start=datetime.datetime(2016, 7, 28, 5, 55), end=datetime.datetime(2016, 7, 28, 6, 5))",34.4
157,"Row(start=datetime.datetime(2016, 7, 27, 18, 5), end=datetime.datetime(2016, 7, 27, 18, 15))",35.3
158,"Row(start=datetime.datetime(2016, 7, 26, 10, 25), end=datetime.datetime(2016, 7, 26, 10, 35))",32.3
159,"Row(start=datetime.datetime(2016, 7, 26, 7, 45), end=datetime.datetime(2016, 7, 26, 7, 55))",33.1
160,"Row(start=datetime.datetime(2016, 7, 28, 4, 25), end=datetime.datetime(2016, 7, 28, 4, 35))",34.1
161,"Row(start=datetime.datetime(2016, 7, 26, 20, 45), end=datetime.datetime(2016, 7, 26, 20, 55))",32.6
162,"Row(start=datetime.datetime(2016, 7, 26, 21, 25), end=datetime.datetime(2016, 7, 26, 21, 35))",31.3
163,"Row(start=datetime.datetime(2016, 7, 27, 17, 45), end=datetime.datetime(2016, 7, 27, 17, 55))",34.4
164,"Row(start=datetime.datetime(2016, 7, 26, 9, 35), end=datetime.datetime(2016, 7, 26, 9, 45))",32.6
165,"Row(start=datetime.datetime(2016, 7, 26, 20, 5), end=datetime.datetime(2016, 7, 26, 20, 15))",33.1
166,"Row(start=datetime.datetime(2016, 7, 27, 12, 25), end=datetime.datetime(2016, 7, 27, 12, 35))",34.2
167,"Row(start=datetime.datetime(2016, 7, 26, 6, 55), end=datetime.datetime(2016, 7, 26, 7, 5))",34.3
168,"Row(start=datetime.datetime(2016, 7, 28, 4, 45), end=datetime.datetime(2016, 7, 28, 4, 55))",32.2
169,"Row(start=datetime.datetime(2016, 7, 27, 8, 45), end=datetime.datetime(2016, 7, 27, 8, 55))",34.1
170,"Row(start=datetime.datetime(2016, 7, 26, 6, 15), end=datetime.datetime(2016, 7, 26, 6, 25))",28.9
171,"Row(start=datetime.datetime(2016, 7, 27, 15, 15), end=datetime.datetime(2016, 7, 27, 15, 25))",32.4
172,"Row(start=datetime.datetime(2016, 7, 26, 7, 15), end=datetime.datetime(2016, 7, 26, 7, 25))",35.0
173,"Row(start=datetime.datetime(2016, 7, 27, 10, 55), end=datetime.datetime(2016, 7, 27, 11, 5))",33.8
174,"Row(start=datetime.datetime(2016, 7, 28, 3, 45), end=datetime.datetime(2016, 7, 28, 3, 55))",32.1
175,"Row(start=datetime.datetime(2016, 7, 26, 9, 5), end=datetime.datetime(2016, 7, 26, 9, 15))",33.3
176,"Row(start=datetime.datetime(2016, 7, 27, 22, 55), end=datetime.datetime(2016, 7, 27, 23, 5))",35.9
177,"Row(start=datetime.datetime(2016, 7, 27, 10, 45), end=datetime.datetime(2016, 7, 27, 10, 55))",31.6
178,"Row(start=datetime.datetime(2016, 7, 28, 8, 35), end=datetime.datetime(2016, 7, 28, 8, 45))",1.875
179,"Row(start=datetime.datetime(2016, 7, 28, 2, 55), end=datetime.datetime(2016, 7, 28, 3, 5))",35.4
180,"Row(start=datetime.datetime(2016, 7, 26, 8, 25), end=datetime.datetime(2016, 7, 26, 8, 35))",31.9
181,"Row(start=datetime.datetime(2016, 7, 26, 23, 35), end=datetime.datetime(2016, 7, 26, 23, 45))",32.0
182,"Row(start=datetime.datetime(2016, 7, 26, 14, 25), end=datetime.datetime(2016, 7, 26, 14, 35))",32.3
183,"Row(start=datetime.datetime(2016, 7, 27, 15, 45), end=datetime.datetime(2016, 7, 27, 15, 55))",30.7
184,"Row(start=datetime.datetime(2016, 7, 27, 23, 35), end=datetime.datetime(2016, 7, 27, 23, 45))",31.7
185,"Row(start=datetime.datetime(2016, 7, 27, 19, 45), end=datetime.datetime(2016, 7, 27, 19, 55))",33.5
186,"Row(start=datetime.datetime(2016, 7, 26, 11, 35), end=datetime.datetime(2016, 7, 26, 11, 45))",31.8
187,"Row(start=datetime.datetime(2016, 7, 27, 3, 45), end=datetime.datetime(2016, 7, 27, 3, 55))",34.3
188,"Row(start=datetime.datetime(2016, 7, 26, 23, 45), end=datetime.datetime(2016, 7, 26, 23, 55))",34.6
189,"Row(start=datetime.datetime(2016, 7, 27, 10, 25), end=datetime.datetime(2016, 7, 27, 10, 35))",34.1
190,"Row(start=datetime.datetime(2016, 7, 28, 3, 35), end=datetime.datetime(2016, 7, 28, 3, 45))",32.6
191,"Row(start=datetime.datetime(2016, 7, 27, 17, 35), end=datetime.datetime(2016, 7, 27, 17, 45))",35.3
192,"Row(start=datetime.datetime(2016, 7, 26, 5, 25), end=datetime.datetime(2016, 7, 26, 5, 35))",20.2
193,"Row(start=datetime.datetime(2016, 7, 26, 16, 35), end=datetime.datetime(2016, 7, 26, 16, 45))",32.4
194,"Row(start=datetime.datetime(2016, 7, 26, 23, 15), end=datetime.datetime(2016, 7, 26, 23, 25))",34.3
195,"Row(start=datetime.datetime(2016, 7, 28, 3, 15), end=datetime.datetime(2016, 7, 28, 3, 25))",34.1
196,"Row(start=datetime.datetime(2016, 7, 26, 17, 15), end=datetime.datetime(2016, 7, 26, 17, 25))",34.0
197,"Row(start=datetime.datetime(2016, 7, 26, 16, 55), end=datetime.datetime(2016, 7, 26, 17, 5))",29.6
198,"Row(start=datetime.datetime(2016, 7, 27, 23, 5), end=datetime.datetime(2016, 7, 27, 23, 15))",34.1
199,"Row(start=datetime.datetime(2016, 7, 27, 12, 45), end=datetime.datetime(2016, 7, 27, 12, 55))",33.0
200,"Row(start=datetime.datetime(2016, 7, 27, 2, 55), end=datetime.datetime(2016, 7, 27, 3, 5))",34.0
201,"Row(start=datetime.datetime(2016, 7, 26, 20, 55), end=datetime.datetime(2016, 7, 26, 21, 5))",34.9
202,"Row(start=datetime.datetime(2016, 7, 26, 18, 45), end=datetime.datetime(2016, 7, 26, 18, 55))",34.5
203,"Row(start=datetime.datetime(2016, 7, 27, 5, 5), end=datetime.datetime(2016, 7, 27, 5, 15))",33.8
204,"Row(start=datetime.datetime(2016, 7, 27, 16, 25), end=datetime.datetime(2016, 7, 27, 16, 35))",30.5
205,"Row(start=datetime.datetime(2016, 7, 26, 9, 45), end=datetime.datetime(2016, 7, 26, 9, 55))",32.9
206,"Row(start=datetime.datetime(2016, 7, 27, 6, 15), end=datetime.datetime(2016, 7, 27, 6, 25))",35.9
207,"Row(start=datetime.datetime(2016, 7, 28, 5, 5), end=datetime.datetime(2016, 7, 28, 5, 15))",32.6
208,"Row(start=datetime.datetime(2016, 7, 27, 23, 25), end=datetime.datetime(2016, 7, 27, 23, 35))",32.2
209,"Row(start=datetime.datetime(2016, 7, 26, 23, 25), end=datetime.datetime(2016, 7, 26, 23, 35))",33.5
210,"Row(start=datetime.datetime(2016, 7, 26, 21, 5), end=datetime.datetime(2016, 7, 26, 21, 15))",35.9
211,"Row(start=datetime.datetime(2016, 7, 26, 20, 25), end=datetime.datetime(2016, 7, 26, 20, 35))",31.2
212,"Row(start=datetime.datetime(2016, 7, 26, 16, 5), end=datetime.datetime(2016, 7, 26, 16, 15))",35.2
213,"Row(start=datetime.datetime(2016, 7, 27, 2, 5), end=datetime.datetime(2016, 7, 27, 2, 15))",33.9
214,"Row(start=datetime.datetime(2016, 7, 28, 8, 45), end=datetime.datetime(2016, 7, 28, 8, 55))",1.0
215,"Row(start=datetime.datetime(2016, 7, 26, 10, 15), end=datetime.datetime(2016, 7, 26, 10, 25))",33.0
216,"Row(start=datetime.datetime(2016, 7, 27, 14, 25), end=datetime.datetime(2016, 7, 27, 14, 35))",33.4
217,"Row(start=datetime.datetime(2016, 7, 27, 8, 15), end=datetime.datetime(2016, 7, 27, 8, 25))",32.4
218,"Row(start=datetime.datetime(2016, 7, 26, 17, 25), end=datetime.datetime(2016, 7, 26, 17, 35))",32.2
219,"Row(start=datetime.datetime(2016, 7, 28, 7, 15), end=datetime.datetime(2016, 7, 28, 7, 25))",13.3
220,"Row(start=datetime.datetime(2016, 7, 27, 17, 55), end=datetime.datetime(2016, 7, 27, 18, 5))",32.3
221,"Row(start=datetime.datetime(2016, 7, 27, 4, 55), end=datetime.datetime(2016, 7, 27, 5, 5))",32.7
222,"Row(start=datetime.datetime(2016, 7, 27, 5, 55), end=datetime.datetime(2016, 7, 27, 6, 5))",35.1
223,"Row(start=datetime.datetime(2016, 7, 26, 17, 5), end=datetime.datetime(2016, 7, 26, 17, 15))",36.1
224,"Row(start=datetime.datetime(2016, 7, 26, 7, 35), end=datetime.datetime(2016, 7, 26, 7, 45))",35.1
225,"Row(start=datetime.datetime(2016, 7, 26, 11, 55), end=datetime.datetime(2016, 7, 26, 12, 5))",35.0
226,"Row(start=datetime.datetime(2016, 7, 27, 5, 15), end=datetime.datetime(2016, 7, 27, 5, 25))",32.1
227,"Row(start=datetime.datetime(2016, 7, 28, 7, 35), end=datetime.datetime(2016, 7, 28, 7, 45))",10.2
228,"Row(start=datetime.datetime(2016, 7, 27, 0, 25), end=datetime.datetime(2016, 7, 27, 0, 35))",36.8
